GEOID,HubName,HubDist
53033006300,11004965702,4427.611195486972
53047971000,6388426551,108639.97619074177
53047970800,6388426551,113834.06382444486
53003960100,358665780,174422.8843745178
53003960600,358665780,146480.24230594438
53003960300,358665780,143495.7118175132
53003960500,358665780,144865.0917987864
53073000804,9559342242,38997.1536014897
53073000805,9559342242,34628.99821922095
53073000803,9559342242,39808.68842701882
53073010702,9559342242,48151.28852933899
53073010701,13735106009,39777.6125995739
53073001202,9559342242,29593.28914645362
53073000902,9559342242,34083.252529292215
53033022101,635748207,6850.87023500051
53035092400,356551783,17395.657777114142
53035092500,356551783,17238.09430088152
53029970602,9559342242,28928.646624541714
53053072405,11363011015,17935.01660128602
53053073119,13071427976,35046.41562678419
53053071205,13071427976,10356.282814511185
53053073005,13071427976,30191.439053366987
53053062600,13071427976,3466.123735993516
53053063100,13071427976,5066.356875681267
53053070310,13071427976,23482.313086409475
53053071703,13071427976,8254.785356051902
53053072406,11363011015,14759.402326585237
53053070309,13071427976,23904.214756008336
53053060906,11363011015,4452.540489038574
53035092600,356551783,14439.487402714905
53053070100,13071427976,59740.53024860057
53053073118,13071427976,27546.81915010567
53053070206,13071427976,31282.842025621638
53053060200,12097192054,2983.9489802105777
53053073110,13071427976,19108.742624557144
53053072602,2713355731,29017.052847316554
53053062400,13071427976,3522.7886491642716
53065951402,358665780,60019.628223098975
53053061501,11363011015,211.17124739984163
53065950102,4858168655,159501.622773341
53065950101,4858168655,157175.26277775184
53065951401,358665780,71559.89207350422
53065951301,358665780,70387.7253197876
53065951302,358665780,75379.44422863421
53053073121,13071427976,19069.024545384244
53063004200,358665780,47079.8705242477
53063004300,358665780,46893.52295199624
53033022203,3518714008,8229.769981694153
53033022005,3518714008,6467.5541942242
53033030901,12097192054,14862.358938974408
53033030902,12097192054,15412.358650821516
53033030201,12097192054,10136.06413133173
53053073117,13071427976,32128.36768880234
53063000400,358665780,45339.33507225917
53063000500,358665780,46485.47816139937
53063000600,358665780,47431.11694023583
53053070204,13071427976,27042.405841943208
53053070401,13071427976,19103.265794253144
53053070205,13071427976,28700.992663094697
53053073006,13071427976,38639.368121947846
53053072504,11363011015,17514.983747192888
53053070207,13071427976,34714.222259942995
53053070307,13071427976,24473.15292380103
53053071805,13071427976,10198.890125967648
53053940001,12097192054,5235.295448448823
53007960502,3518714008,117379.20891621974
53063000700,358665780,48488.24633311749
53015000702,8389138771,53989.51684962214
53015001000,8389138771,55024.75478758228
53033030304,12097192054,9030.857388431275
53033030305,12097192054,8079.022358264987
53033030306,12097192054,6676.7358009886175
53057950100,9559342242,27300.587344358406
53057940700,9559342242,24696.328590998408
53007960202,3518714008,113790.33890177468
53007960203,3518714008,94239.9346494664
53007960301,6388426551,147627.5103284517
53007960302,6388426551,146494.18348342742
53007960303,6388426551,152091.87085893116
